,company,date
887,SRI,2017-03-02
888,SRI,2017-05-04
889,SRI,2017-08-06
890,SRI,2017-11-02
891,SRI,2018-03-01
892,SRI,2018-05-03
893,SRI,2018-08-02
894,SRI,2018-10-31
895,SRI,2019-03-02
896,SRI,2019-05-05
897,SRI,2019-08-05
898,SRI,2019-11-03
899,SRI,2020-03-01
900,SRI,2020-05-09
901,SRI,2021-02-28
902,SRI,2021-05-01
903,SRI,2021-08-08
904,SRI,2021-11-01
905,SRI,2022-03-01
906,SRI,2022-05-08
907,SRI,2022-08-07
908,SRI,2022-11-05
909,SUP,2008-03-14
910,SUP,2008-06-03
911,SUP,2008-09-16
912,SUP,2013-03-01
913,SUP,2013-11-01
914,SUP,2014-03-07
915,SUP,2014-11-04
916,SUP,2015-03-10
917,SUP,2015-05-10
918,SUP,2015-08-05
919,SUP,2015-11-03
920,SUP,2016-03-10
921,SUP,2016-04-27
922,SUP,2016-07-27
923,SUP,2016-10-27
924,SUP,2017-03-02
925,SUP,2017-04-26
926,SUP,2017-08-04
927,SUP,2017-11-09
928,SUP,2018-03-15
929,SUP,2018-05-09
930,SUP,2018-08-08
931,SUP,2018-11-09
932,SUP,2019-03-07
933,SUP,2019-08-11
934,SUP,2019-11-04
935,SUP,2021-03-05
936,SUP,2021-05-08
937,SUP,2021-08-04
938,SUP,2021-11-03
939,SUP,2022-03-03
940,SUP,2022-05-07
941,SUP,2022-08-06
942,SUP,2022-11-04
943,THRM,2007-10-31
944,THRM,2013-03-06
945,THRM,2013-05-07
946,THRM,2013-08-01
947,THRM,2013-11-01
948,THRM,2014-03-05
949,THRM,2014-05-02
950,THRM,2014-08-01
951,THRM,2014-10-30
952,THRM,2015-02-24
953,THRM,2015-05-03
954,THRM,2015-07-30
955,THRM,2015-10-30
956,THRM,2016-02-19
957,THRM,2016-05-01
958,THRM,2016-07-28
959,THRM,2016-10-27
960,THRM,2017-02-21
961,THRM,2017-04-27
962,THRM,2017-07-27
963,THRM,2017-10-27
964,THRM,2018-02-20
965,THRM,2018-04-26
966,THRM,2018-07-26
967,THRM,2018-10-25
968,THRM,2019-02-21
969,THRM,2019-04-30
970,THRM,2019-07-26
971,THRM,2019-10-29
972,THRM,2020-02-19
973,THRM,2020-05-10
974,THRM,2020-08-04
975,THRM,2020-11-01
976,THRM,2021-03-01
977,THRM,2021-05-02
978,THRM,2021-07-31
979,THRM,2021-10-28
980,THRM,2022-02-17
981,THRM,2022-05-04
982,THRM,2022-08-02
983,THRM,2022-11-02
984,TSLA,2011-08-04
985,TSLA,2011-11-03
986,TSLA,2012-02-16
987,TSLA,2012-05-10
988,TSLA,2012-07-26
989,TSLA,2012-11-05
990,TSLA,2013-02-21
991,TSLA,2013-05-09
992,TSLA,2013-08-08
993,TSLA,2013-11-06
994,TSLA,2014-02-20
995,TSLA,2014-05-08
996,TSLA,2014-08-01
997,TSLA,2014-11-06
998,TSLA,2015-02-12
999,TSLA,2015-05-07
1000,TSLA,2015-08-06
1001,TSLA,2015-11-04
1002,TSLA,2016-02-11
1003,TSLA,2016-05-05
1004,TSLA,2016-08-04
1005,TSLA,2016-10-27
1006,TSLA,2017-02-23
1007,TSLA,2017-05-04
1008,TSLA,2017-08-03
1009,TSLA,2017-11-02
1010,TSLA,2018-02-08
1011,TSLA,2018-05-03
1012,TSLA,2018-08-02
1013,TSLA,2018-10-25
1014,TSLA,2019-01-31
1015,TSLA,2019-04-25
1016,TSLA,2019-07-25
1017,TSLA,2019-10-24
1018,TSLA,2020-01-30
1019,TSLA,2020-04-30
1020,TSLA,2020-07-23
1021,TSLA,2020-10-22
1022,TSLA,2021-01-27
1023,TSLA,2021-04-27
1024,TSLA,2021-07-26
1025,TSLA,2021-10-20
1026,TSLA,2022-01-26
1027,TSLA,2022-04-20
1028,TSLA,2022-07-20
1029,TSLA,2022-10-19
1030,UFAB,2018-05-12
1031,UFAB,2018-08-12
1032,UFAB,2018-11-13
1033,UFAB,2019-03-07
1034,UFAB,2019-05-12
1035,UFAB,2019-08-10
1036,UFAB,2019-11-10
1037,UFAB,2021-11-15
1038,UFAB,2022-03-24
1039,UFAB,2022-05-13
1040,UFAB,2022-08-12
1041,UFAB,2022-11-13
1042,VC,2009-02-25
1043,VC,2011-08-04
1044,VC,2011-11-05
1045,VC,2012-02-27
1046,VC,2012-05-02
1047,VC,2012-08-02
1048,VC,2012-11-01
1049,VC,2013-02-28
1050,VC,2013-05-09
1051,VC,2013-08-08
1052,VC,2014-02-25
1053,VC,2014-05-08
1054,VC,2014-08-06
1055,VC,2014-11-06
1056,VC,2015-02-26
1057,VC,2015-05-07
1058,VC,2015-08-05
1059,VC,2015-11-05
1060,VC,2016-02-26
1061,VC,2016-04-28
1062,VC,2016-07-28
1063,VC,2016-10-27
1064,VC,2017-02-23
1065,VC,2017-04-27
1066,VC,2017-07-30
1067,VC,2017-10-28
1068,VC,2018-02-22
1069,VC,2018-04-26
1070,VC,2018-07-26
